Region,Year,Population
Punjab,1988,56144158.06
Punjab,1989,57906017.42
Punjab,1990,59637568.63
Punjab,1991,61322316.88
Punjab,1992,62966200.65
Punjab,1993,64601068.8
Punjab,1994,66272888.97
Punjab,1995,68011509.23
Punjab,1996,69833596.21
Punjab,1997,71719925.79
Punjab,1998,73621290
Punjab,1999,75468600.21
Punjab,2000,77214184.31
Punjab,2001,78838148.78
Punjab,2002,80360939.02
Punjab,2003,81824509.28
Punjab,2004,83290833.51
Punjab,2005,84804721.94
Punjab,2006,86380001.84
Punjab,2007,88002607.05
Punjab,2008,89655929.46
Punjab,2009,91312559.86
Punjab,2010,92952758.25
Punjab,2011,94572417.3
Punjab,2012,96179573.98
Punjab,2013,98037831.04
Punjab,2014,100530753.7
Punjab,2015,103087066.7
Punjab,2016,105708382.2
Punjab,2017,108396352.9
3 Region Total,1973,57109512.46
3 Region Total,1974,58768488.77
3 Region Total,1975,60534357.06
3 Region Total,1976,62411358.39
3 Region Total,1977,64397842.53
3 Region Total,1978,66497297.36
3 Region Total,1979,68711774.6
3 Region Total,1980,71040717.35
3 Region Total,1981,73482140.53
3 Region Total,1982,76029872.13
3 Region Total,1983,78672681.1
3 Region Total,1984,81395924.84
3 Region Total,1985,84185089.54
3 Region Total,1986,87040597.98
3 Region Total,1987,89953543.46
3 Region Total,1988,92889292.16
3 Region Total,1989,95804250.26
3 Region Total,1990,98669064.2
3 Region Total,1991,101456443.6
3 Region Total,1992,104176213.7
3 Region Total,1993,106881067.6
3 Region Total,1994,109647057.8
3 Region Total,1995,112523567.4
3 Region Total,1996,115538170.7
3 Region Total,1997,118659062.1
3 Region Total,1998,121804828
3 Region Total,1999,124861162.7
3 Region Total,2000,127749193.7
3 Region Total,2001,130436007.7
3 Region Total,2002,132955431.2
3 Region Total,2003,135376876.4
3 Region Total,2004,137802878.1
3 Region Total,2005,140307573.7
3 Region Total,2006,142913840.1
3 Region Total,2007,145598405.2
3 Region Total,2008,148333791.3
3 Region Total,2009,151074650.4
3 Region Total,2010,153788323.1
3 Region Total,2011,156468013.8
3 Region Total,2012,159127019.7
3 Region Total,2013,162201465.7
3 Region Total,2014,166325952.2
3 Region Total,2015,170555316.7
3 Region Total,2016,174892226.3
3 Region Total,2017,179339415.5
Pakistan,1973,64299241
Pakistan,1974,66167072
Pakistan,1975,68155252
Pakistan,1976,70268556
Pakistan,1977,72505126
Pakistan,1978,74868889
Pakistan,1979,77362155
Pakistan,1980,79984297
Pakistan,1981,82733080
Pakistan,1982,85601555
Pakistan,1983,88577077
Pakistan,1984,91643160
Pakistan,1985,94783463
Pakistan,1986,97998462
Pakistan,1987,101278129
Pakistan,1988,104583470
Pakistan,1989,107865403
Pakistan,1990,111090879
Pakistan,1991,114229172
Pakistan,1992,117291344
Pakistan,1993,120336722
Pakistan,1994,123450933
Pakistan,1995,126689577
Pakistan,1996,130083700
Pakistan,1997,133597492
Pakistan,1998,137139290
Pakistan,1999,140580398
Pakistan,2000,143832014
Pakistan,2001,146857081
Pakistan,2002,149693684
Pakistan,2003,152419974
Pakistan,2004,155151394
Pakistan,2005,157971415
Pakistan,2006,160905794
Pakistan,2007,163928329
Pakistan,2008,167008083
Pakistan,2009,170093999
Pakistan,2010,173149306
Pakistan,2011,176166353
Pakistan,2012,179160111
Pakistan,2013,182621610.4
Pakistan,2014,187265343.8
Pakistan,2015,192027158.7
Pakistan,2016,196910058
Pakistan,2017,201917120.4
