Simulation,SimulatedNNDISLoss
273,2651.151587
274,4136.015687
275,0
276,1103.44307
277,0
278,0
279,302.9889927
280,1283.499208
281,2428.867395
282,1151.125842
283,0
284,307.0521659
285,0
286,308.4640175
287,936.4632332
288,0
289,608.20354
290,0
291,0
292,0
293,3214.713588
294,3913.603952
295,0
296,3982.529139
297,213.5330118
298,823.1317142
299,2404.347857
300,1030.102918
301,607.637283
302,3378.106408
303,1111.812821
304,1473.091176
305,266.9948521
306,0
307,4797.573274
308,0
309,4625.506011
310,1237.389967
311,0
312,0
313,0
314,0
315,663.3445332
316,0
317,0
318,1180.199595
319,1275.868023
320,756.9196234
321,365.4842615
322,2471.613709
323,1193.298914
324,0
325,1109.682127
326,0
327,0
328,0
329,0
330,0
331,2736.710577
332,1148.987687
333,382.9280891
334,2329.41797
335,1027.3912
336,846.4053671
337,2243.49193
338,3860.16404
339,2049.890078
340,0
341,1134.580076
342,0
343,763.2082305
344,0
345,0
346,0
347,718.2361266
348,0
349,2766.36036
350,0
351,0
352,1491.661198
353,2071.368641
354,0
355,454.1639253
356,465.3568325
357,1680.258539
358,629.7716771
359,0
360,3468.823491
361,7190.702473
362,504.8727632
363,1165.023138
364,3240.772633
365,296.1889384
366,3951.553844
367,3558.183444
368,0
369,0
370,0
371,0
372,0
373,0
374,3560.629394
375,3321.180603
376,0
377,2969.331622
378,1200.913041
379,0
380,0
381,1780.217154
382,0
383,0
384,2202.686328
385,0
386,0
387,1975.126716
388,0
389,0
390,563.1522518
391,9111.658805
392,712.2017298
393,2006.790382
394,2937.448256
395,445.8827661
396,0
397,3612.85722
398,2135.156975
399,1091.382459
400,196.5644127
401,0
402,0
403,1427.01288
404,2241.553891
405,4007.148057
406,741.3527387
407,2220.156713
408,0
409,0
410,0
411,0
412,0
413,1627.73131
414,4108.310148
415,4199.918343
416,599.4210041
417,0
418,481.2793291
419,786.7150714
420,687.0611907
421,2795.230435
422,434.1457938
423,2476.642631
424,1593.484785
425,2312.770441
426,0
427,0
428,4971.318312
429,2612.865395
430,1131.087298
431,0
432,0
433,1630.999438
434,1310.898872
435,1145.982628
436,1390.053488
437,1505.498207
438,0
439,0
440,2549.474188
441,0
442,797.2132202
443,2432.67159
444,0
445,122.8845916
446,979.839991
447,5661.753116
448,458.1902026
449,0
450,1270.826404
451,820.8236776
452,0
453,3856.407855
454,1722.1313
455,0
456,0
457,1694.456782
458,1010.266127
459,5150.993396
460,0
461,2708.182969
462,1015.490077
463,5009.149277
464,2942.763511
465,644.175074
466,457.2550729
467,1596.906118
468,0
469,355.4209906
470,580.2912611
471,0
472,0
473,284.9506446
474,0
475,203.6542778
476,1831.154344
477,364.1614856
478,3593.562018
479,0
480,0
481,0
482,1593.310804
483,368.4529253
484,0
485,0
486,510.6741598
487,0
488,0
489,532.7279849
490,596.5766235
491,0
